company_id,total_pros,total_cons,signal_balance,signal_class,leverage_class,growth_class,cashflow_signal,overall_class,risk_level,investment_view,recommendation_category,investment_summary
BPCL,13,2,11,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"BPCL shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
SUNPHARMA,13,4,9,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"SUNPHARMA shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
BOSCHLTD,12,4,8,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"BOSCHLTD shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
DRREDDY,12,4,8,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"DRREDDY shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
ITC,11,3,8,Strong Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"ITC shows strong positive overall investment signals with low leverage, mixed growth, and positive cash flow signals. The assessed risk level is low risk."
NESTLEIND,11,3,8,Strong Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"NESTLEIND shows strong positive overall investment signals with low leverage, mixed growth, and positive cash flow signals. The assessed risk level is low risk."
CIPLA,12,5,7,Strong Positive,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"CIPLA shows strong positive overall investment signals with low leverage, moderate growth, and balanced cash flow signals. The assessed risk level is low risk."
HINDALCO,12,5,7,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"HINDALCO shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
COALINDIA,11,4,7,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"COALINDIA shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
HINDUNILVR,11,4,7,Strong Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"HINDUNILVR shows strong positive overall investment signals with low leverage, mixed growth, and positive cash flow signals. The assessed risk level is low risk."
