company_id,type,rule_id,text,confidence_pct
ABB,con,CF_CON_01,"Accrual Risk was observed in 3 of 23 periods, indicating that reported earnings were not always strongly supported by operating cash flow",73.91
ABB,con,CF_CON_02,"Negative free cash flow occurred in 7 of 23 periods, indicating periods of cash-generation pressure",75.61
ABB,con,CF_CON_03,"Capital-intensive cash-flow characteristics appeared in 13 periods, indicating higher investment requirements",81.3
ABB,con,CF_CON_04,"Growth funded by debt was observed in 1 periods, indicating reliance on debt financing for growth",75.87
ABB,con,CF_CON_08,"Latest period is classified as Capital Intensive, indicating relatively high capital expenditure requirements",85.0
ABB,pro,CF_PRO_01,"Operating cash flow quality was High Quality in 15 of 23 periods, indicating strong cash support for reported earnings",91.3
ABB,pro,CF_PRO_02,"Free cash flow was positive in 15 of 23 periods, supporting internal cash generation",86.3
ABB,pro,CF_PRO_03,"Asset-light cash-flow characteristics appeared in 4 periods, suggesting relatively lower capital expenditure intensity",75.48
ABB,pro,CF_PRO_04,"Latest free-cash-flow conversion was 75.36%, indicating strong conversion of reported profit into free cash flow",82.54
ABB,pro,CF_PRO_05,"Average free cash flow was positive at 56.39, indicating positive cash generation across the available periods",78.0
ABB,pro,CF_PRO_06,"Latest operating cash-flow quality is High Quality, providing strong cash-flow support for current earnings",90.0
ADANIENSOL,con,CF_CON_02,"Negative free cash flow occurred in 6 of 11 periods, indicating periods of cash-generation pressure",81.64
ADANIENSOL,con,CF_CON_03,"Capital-intensive cash-flow characteristics appeared in 10 periods, indicating higher investment requirements",88.18
ADANIENSOL,con,CF_CON_04,"Growth funded by debt was observed in 1 periods, indicating reliance on debt financing for growth",76.82
ADANIENSOL,con,CF_CON_08,"Latest period is classified as Capital Intensive, indicating relatively high capital expenditure requirements",85.0
ADANIENSOL,pro,CF_PRO_01,"Operating cash flow quality was High Quality in 10 of 11 periods, indicating strong cash support for reported earnings",95.0
ADANIENSOL,pro,CF_PRO_02,"Free cash flow was positive in 4 of 11 periods, supporting internal cash generation",79.09
ADANIENSOL,pro,CF_PRO_06,"Latest operating cash-flow quality is High Quality, providing strong cash-flow support for current earnings",90.0
ADANIENT,con,CF_CON_02,"Negative free cash flow occurred in 7 of 12 periods, indicating periods of cash-generation pressure",82.58
ADANIENT,con,CF_CON_03,"Capital-intensive cash-flow characteristics appeared in 8 periods, indicating higher investment requirements",83.33
ADANIENT,con,CF_CON_06,"Liquidating Assets patterns appeared in 1 periods, indicating that asset sales may have contributed to cash generation",73.67
ADANIENT,con,CF_CON_07,"Latest free cash flow was negative at -8455.00, indicating current cash-generation pressure",88.0
ADANIENT,con,CF_CON_08,"Latest period is classified as Capital Intensive, indicating relatively high capital expenditure requirements",85.0
ADANIENT,pro,CF_PRO_01,"Operating cash flow quality was High Quality in 11 of 12 periods, indicating strong cash support for reported earnings",95.0
ADANIENT,pro,CF_PRO_02,"Free cash flow was positive in 5 of 12 periods, supporting internal cash generation",80.42
ADANIENT,pro,CF_PRO_03,"Asset-light cash-flow characteristics appeared in 1 periods, suggesting relatively lower capital expenditure intensity",73.67
ADANIENT,pro,CF_PRO_06,"Latest operating cash-flow quality is High Quality, providing strong cash-flow support for current earnings",90.0
ADANIGREEN,con,CF_CON_01,"Accrual Risk was observed in 4 of 8 periods, indicating that reported earnings were not always strongly supported by operating cash flow",85.0
ADANIGREEN,con,CF_CON_02,"Negative free cash flow occurred in 7 of 8 periods, indicating periods of cash-generation pressure",89.88
ADANIGREEN,con,CF_CON_03,"Capital-intensive cash-flow characteristics appeared in 8 periods, indicating higher investment requirements",90.0
ADANIGREEN,con,CF_CON_07,"Latest free cash flow was negative at -13347.00, indicating current cash-generation pressure",88.0
ADANIGREEN,con,CF_CON_08,"Latest period is classified as Capital Intensive, indicating relatively high capital expenditure requirements",85.0
ADANIGREEN,pro,CF_PRO_01,"Operating cash flow quality was High Quality in 4 of 8 periods, indicating strong cash support for reported earnings",87.5
ADANIGREEN,pro,CF_PRO_02,"Free cash flow was positive in 1 of 8 periods, supporting internal cash generation",73.12
ADANIGREEN,pro,CF_PRO_06,"Latest operating cash-flow quality is High Quality, providing strong cash-flow support for current earnings",90.0
ADANIPORTS,con,CF_CON_02,"Negative free cash flow occurred in 10 of 24 periods, indicating periods of cash-generation pressure",78.42
ADANIPORTS,con,CF_CON_03,"Capital-intensive cash-flow characteristics appeared in 22 periods, indicating higher investment requirements",88.33
ADANIPORTS,con,CF_CON_08,"Latest period is classified as Capital Intensive, indicating relatively high capital expenditure requirements",85.0
ADANIPORTS,pro,CF_PRO_01,"Operating cash flow quality was High Quality in 18 of 24 periods, indicating strong cash support for reported earnings",93.75
ADANIPORTS,pro,CF_PRO_02,"Free cash flow was positive in 14 of 24 periods, supporting internal cash generation",84.58
ADANIPORTS,pro,CF_PRO_04,"Latest free-cash-flow conversion was 52.92%, indicating strong conversion of reported profit into free cash flow",80.29
ADANIPORTS,pro,CF_PRO_05,"Average free cash flow was positive at 585.67, indicating positive cash generation across the available periods",78.0
ADANIPORTS,pro,CF_PRO_06,"Latest operating cash-flow quality is High Quality, providing strong cash-flow support for current earnings",90.0
ADANIPOWER,con,CF_CON_01,"Accrual Risk was observed in 7 of 12 periods, indicating that reported earnings were not always strongly supported by operating cash flow",87.5
ADANIPOWER,con,CF_CON_02,"Negative free cash flow occurred in 2 of 12 periods, indicating periods of cash-generation pressure",72.17
ADANIPOWER,con,CF_CON_03,"Capital-intensive cash-flow characteristics appeared in 6 periods, indicating higher investment requirements",80.0
ADANIPOWER,con,CF_CON_06,"Liquidating Assets patterns appeared in 3 periods, indicating that asset sales may have contributed to cash generation",77.0
ADANIPOWER,pro,CF_PRO_01,"Operating cash flow quality was High Quality in 3 of 12 periods, indicating strong cash support for reported earnings",81.25
ADANIPOWER,pro,CF_PRO_02,"Free cash flow was positive in 10 of 12 periods, supporting internal cash generation",90.83
ADANIPOWER,pro,CF_PRO_03,"Asset-light cash-flow characteristics appeared in 2 periods, suggesting relatively lower capital expenditure intensity",75.33
